region_id;veins
1;24,26,21,46,32,33,34,35,38
2;26, 25,16,22,32,33,34,35,38
3;23,19,27,9
4;14,28,7,5,36,37
5;4,14,7,11,19,36,37
6;27,29,13,9,28
7;4,5,13,9,28,36,37
8;23,21,11,14,53,32,33,34,35,38
9;3,6,7,27,13,19,11,5
10;25,17,26,31,12,28,32,33,34,35,38
11;5,8,9,14,19,23
12;10,24,26,57,32,33,34,35,38
13;6,7,9,28,36,37
14;4,5,8,11,36,37
15;23,26,21,20,22,32,33,34,35,38
16;2,25,31,22,18
17;10,18,31,25
18;16,17,31,25
19;3,9,11,23
20;15,22,27,29,31,23
21;1,8,15,23,26,32,33,34,35,38
22;2,15,16,20,31,26
23;3,8,11,15,20,21,19,27,68,32,33,34,35,38
24;1,12,26,69,32,33,34,35,38
25;2,10,16,17,18,26,32,33,34,35,38
26;1,2,10,12,15,21,22,24,25,71,32,33,34,35,38
27;3,6,9,20,29,23
28;4,7,13,6,31,29,10,30
29;6,20,27,28,31,30
30;31,28,29
31;10,16,17,18,20,22,28,29,30,32,33,34,35,38
32;39,36,33,1,8,21,24,10,12,2,25,26,31,15,23
33;32,34,38,35,1,8,21,24,10,12,2,25,26,31,15,23
34;33,1,8,21,24,10,12,2,25,26,31,15,23
35;33,1,8,21,24,10,12,2,25,26,31,15,23
36;37,32,14,4,5,7,13
37;36,14,4,5,7,13
38;33,1,8,21,24,10,12,2,25,26,31,15,23
39;32,43,40,46,53,66,69,55,57,47,70,71,76,60,68
40;39,41,45,42,46,53,66,69,55,57,47,70,71,76,60,68
41;40,46,53,66,69,55,57,47,70,71,76,60,68
42;40,46,53,66,69,55,57,47,70,71,76,60,68
43;44,39,59,49,50,52,58
44;43,59,49,50,52,58
45;40,46,53,66,69,55,57,47,70,71,76,60,68
46;69, 71, 66, 1, 39, 40, 41, 42, 45
47;71, 70, 61, 67, 39, 40, 41, 42, 45
48;68, 64, 72, 54
49;59, 73, 52, 50, 43, 44
50;49, 59, 52, 56, 64, 43, 44
51;72, 74, 58, 54, 73
52;49, 50, 58, 54, 73, 43, 44
53;68, 66, 56, 59, 8, 39, 40, 41, 42, 45
54;48, 51, 52, 72, 58, 64, 56, 50
55;70, 62, 71, 76, 57, 73, 39, 40, 41, 42, 45
56;50, 53, 54, 59, 64, 68
57;55, 69, 71, 12, 39, 40, 41, 42, 45
58;51, 52, 54, 73, 43, 44
59;49, 50, 53, 56, 43, 44
60;68, 71, 66, 65, 67, 39, 40, 41, 42, 45
61;47, 70, 76, 67, 63
62;55, 63, 76, 70
63;61, 62, 76, 70
64;48, 54, 56, 68
65;60, 67, 72, 74, 76, 68
66;46, 53, 60, 68, 71, 39, 40, 41, 42, 45
67;47, 60, 61, 65, 76, 71
68;48, 53, 56, 60, 65, 66, 64, 72, 23, 39, 40, 41, 42, 45
69;46, 57, 71, 24, 39, 40, 41, 42, 45
70;47, 55, 61, 62, 63, 71, 39, 40, 41, 42, 45
71;46, 47, 55, 57, 60, 66, 67, 69, 70, 26, 39, 40, 41, 42, 45
72;48, 51, 54, 65, 74, 68
73;49, 52, 58, 51, 76, 74, 55, 75
74;51, 65, 72, 73, 76, 75
75;76, 73, 74
76;55, 61, 62, 63, 65, 67, 73, 74, 75, 39, 40, 41, 42, 45